Long,Lat,Op,FlightsCount,PosDateTime,Id,Icao,Source,Target
112.32342,34.42575,Air China,0.0,2020-01-01 01:50:33.153,7867548.0,780C9C,ZHHH,ZBAA
113.54828,29.17629,Air China,7.0,2020-01-01 06:39:04.160,7869832.0,781588,ZHHH,ZGGG
121.67693999999999,38.994246999999994,China Southern Airlines,15.0,2020-01-01 06:39:04.181,7866467.0,780863,ZHHH,ZSPD
109.38741,22.352615,China Southern Airlines,8.0,2020-01-01 06:39:21.804,7869022.0,78125E,ZHHH,ZSNB
120.58858000000001,31.509254,China Eastern Airlines,7.0,2020-01-01 06:39:23.764,7867564.0,780CAC,ZHHH,ZSSS
114.13938999999999,30.8606,Air China,4.0,2020-01-01 06:39:04.160,7865599.0,7804FF,ZHHH,ZBAA
113.54828,29.17629,Air China,0.0,2020-01-01 06:39:02.605,7869832.0,781588,ZHHH,ZGGG
120.57506000000001,31.513303999999998,China Eastern Airlines,0.0,2020-01-01 06:39:23.593,7867564.0,780CAC,ZHHH,ZSSS
13.891379999999998,55.947235,China Southern Airlines,0.0,2020-01-01 16:39:21.768,7866120.0,780708,ZHHH,EGLL
13.873157999999998,55.941545,China Southern Airlines,0.0,2020-01-01 16:39:27.499,7866120.0,780708,ZHHH,EGLL
113.66933999999999,29.03268,Malindo Air,8.0,2020-01-01 16:39:07.783,7668741.0,750405,ZHHH,WMKP
106.1352,30.80319,Air China,12.0,2020-01-01 16:39:06.287,7868342.0,780FB6,ZHHH,ZUUU
111.89741000000001,27.780490000000004,Thai AirAsia,18.0,2020-01-01 16:38:32.858,8915023.0,88084F,ZHHH,VTSP
107.29463,22.484479999999998,China Southern Airlines,9.0,2020-01-01 16:39:07.787,7865074.0,7802F2,ZHHH,VTBS
113.67781000000001,28.95818,Malindo Air,0.0,2020-01-01 16:39:31.424,7668741.0,750405,ZHHH,WMKP
111.83673,27.693279999999998,Thai AirAsia,0.0,2020-01-01 16:39:31.424,8915023.0,88084F,ZHHH,VTSP
13.859682000000001,55.937355000000004,China Southern Airlines,0.0,2020-01-01 16:39:31.443,7866120.0,780708,ZHHH,EGLL
13.86708,55.939640000000004,China Southern Airlines,0.0,2020-01-01 16:39:30.033,7866120.0,780708,ZHHH,EGLL
36.140228,42.4501,China Southern Airlines,0.0,2020-01-01 16:39:35.326,7866122.0,78070A,ZHHH,LTFM
106.06653600000001,30.795227,Air China,0.0,2020-01-01 16:39:35.891,7868342.0,780FB6,ZHHH,ZUUU
36.140228,42.4501,China Southern Airlines,0.0,2020-01-01 16:39:35.889,7866122.0,78070A,ZHHH,LTFM
13.845354,55.932860999999995,China Southern Airlines,0.0,2020-01-01 16:39:36.194,7866120.0,780708,ZHHH,EGLL
114.55571499999999,22.955234,Tianjin Airlines,0.0,2020-01-01 12:14:39.481,7868927.0,7811FF,ZHHH,ZJHK
121.88418,43.73003,Sichuan Airlines,8.0,2020-01-01 12:15:05.452,7867627.0,780CEB,ZHHH,ZYHB
114.60051000000001,34.83616,China Southern Airlines,9.0,2020-01-01 12:15:07.385,7865836.0,7805EC,ZHHH,ZBAA
113.67891999999999,28.10802,China Eastern Airlines,7.0,2020-01-01 12:15:05.452,7867564.0,780CAC,ZHHH,ZJHK
113.26466,28.32935,Shanghai Airlines,0.0,2020-01-01 12:15:03.253,7869300.0,781374,ZHHH,ZSPD
114.60051000000001,34.83616,China Southern Airlines,0.0,2020-01-01 12:15:03.243,7865836.0,7805EC,ZHHH,ZBAA
113.67891999999999,28.10802,China Eastern Airlines,0.0,2020-01-01 12:15:02.254,7867564.0,780CAC,ZHHH,ZJHK
114.56662800000001,22.959274,Tianjin Airlines,0.0,2020-01-01 12:14:42.352,7868927.0,7811FF,ZHHH,ZJHK
113.364724,22.515929999999997,China Southern Airlines,0.0,2020-01-01 12:50:24.980,7866216.0,780768,ZHHH,VVTS
114.14965,30.9564,China Southern Airlines,10.0,2020-01-01 12:50:09.479,7867910.0,780E06,ZHHH,ZGGG
113.36166399999999,22.524765,China Southern Airlines,0.0,2020-01-01 12:50:24.638,7866216.0,780768,ZHHH,VVTS
118.47899,29.2558,Shanghai Airlines,6.0,2020-01-01 12:49:39.911,7869300.0,781374,ZHHH,ZSPD
115.85461399999998,38.691334000000005,China Southern Airlines,9.0,2020-01-01 12:50:21.528,7865836.0,7805EC,ZHHH,ZBAA
118.47899,29.2558,Shanghai Airlines,0.0,2020-01-01 12:49:41.361,7869300.0,781374,ZHHH,ZSPD
113.36378,22.518767999999998,China Southern Airlines,0.0,2020-01-01 12:50:25.696,7866216.0,780768,ZHHH,VVTS
113.367668,22.507462,China Southern Airlines,0.0,2020-01-01 12:50:32.194,7866216.0,780768,ZHHH,VVTS
111.10413,32.733309999999996,Air China,3.0,2020-01-01 02:15:03.617,8106103.0,7BB077,ZHHH,ZBAA
115.72723,26.40424,China Southern Airlines,15.0,2020-01-01 02:15:03.598,7866467.0,780863,ZHHH,ZSPD
114.11011,31.824740000000002,Air China,0.0,2020-01-01 02:15:04.565,7867548.0,780C9C,ZHHH,ZBAA
115.72723,26.40424,China Southern Airlines,0.0,2020-01-01 02:15:03.189,7866467.0,780863,ZHHH,ZSPD
111.10413,32.733309999999996,Air China,0.0,2020-01-01 02:15:03.190,8106103.0,7BB077,ZHHH,ZBAA
